Ano,Mês,Dia,Média de temperature
2021,janeiro,1,27.124463519313306
2021,janeiro,2,34.30981398332264
2021,janeiro,3,32.52959028831563
2021,janeiro,4,43.55724827422043
2021,janeiro,5,48.82280788993867
2021,janeiro,6,49.83075157773953
2021,janeiro,7,48.45897787350695
2021,janeiro,8,46.8525311812179
2021,janeiro,9,40.26997112608277
2021,janeiro,10,35.46616541353384
2021,janeiro,11,39.40077519379845
2021,janeiro,12,45.59049893842887
2021,janeiro,13,47.549796530306274
2021,janeiro,14,47.99404474488975
2021,janeiro,15,44.023153252480704
2021,janeiro,16,40.577124868835256
2021,janeiro,17,35.50483870967742
2021,janeiro,18,48.3252743484225
2021,janeiro,19,47.80532986675333
2021,janeiro,20,46.51523864289822
2021,janeiro,21,48.58448664306405
2021,janeiro,22,49.43951996197718
2021,janeiro,23,43.75479943811456
2021,janeiro,24,30.314814814814813
2021,janeiro,25,47.63986054619407
2021,janeiro,26,45.50186517452705
2021,janeiro,27,49.93288416688261
2021,janeiro,28,47.065393219755634
2021,janeiro,29,49.300616937745374
2021,janeiro,30,51.744392627137465
2021,janeiro,31,43.63418079096045
2021,fevereiro,1,46.694875669734856
2021,fevereiro,2,46.495953757225436
2021,fevereiro,3,48.30725289942877
2021,fevereiro,4,50.88212360967779
2021,fevereiro,5,46.83100422489438
2021,fevereiro,6,43.6973228920051
2021,fevereiro,7,38.53819241982507
2021,fevereiro,8,42.75607459031833
2021,fevereiro,9,43.641311994372145
2021,fevereiro,10,46.15318322981366
2021,fevereiro,11,43.425823111684956
2021,fevereiro,12,43.574858757062145
2021,fevereiro,13,39.367982034007056
2021,fevereiro,14,39.38613462313583
2021,fevereiro,15,46.02467577183519
2021,fevereiro,16,47.58065201231815
2021,fevereiro,17,48.9162067800428
2021,fevereiro,18,47.03287327478043
2021,fevereiro,19,46.8270796460177
2021,fevereiro,20,45.30395683453237
2021,fevereiro,21,30.652542372881356
2021,fevereiro,22,46.52408637873754
2021,fevereiro,23,47.913412686892144
2021,fevereiro,24,47.24701873935264
2021,fevereiro,25,43.699107241265295
2021,fevereiro,26,41.61680940051782
2021,fevereiro,27,43.66539004233017
2021,fevereiro,28,32.116089613034625
2021,março,1,46.31607674495534
2021,março,2,46.70917626019895
2021,março,3,47.89289853952554
2021,março,4,45.66554659498208
2021,março,5,43.591161637746815
2021,março,6,39.51839520559347
2021,março,7,36.82865731462926
2021,março,8,43.22351854960551
2021,março,9,45.2604822746086
2021,março,10,44.11048387096774
2021,março,11,44.05920484010372
2021,março,12,47.56235622168003
2021,março,13,43.29752066115702
2021,março,14,40.865587044534415
2021,março,15,45.364267129228104
2021,março,16,45.442263558400775
2021,março,17,46.40817957286067
2021,março,18,42.94201747418586
2021,março,19,43.650863196442586
2021,março,20,41.97326291467239
2021,março,21,35.83995703544576
2021,março,22,43.70226432232531
2021,março,23,46.971058260978985
2021,março,24,46.13663727576771
2021,março,25,45.495814354302595
2021,março,26,46.93169964992499
2021,março,27,44.81827907687605
2021,março,28,35.63611859838275
2021,março,29,45.374506486181616
2021,março,30,45.54739336492891
2021,março,31,42.5339375908116
2021,abril,1,42.05654003437444
2021,abril,2,36.28988895382817
2021,abril,3,39.3618441006976
2021,abril,4,31.635814889336014
2021,abril,5,42.370843989769824
2021,abril,6,40.78677128501617
2021,abril,7,41.62816867324097
2021,abril,8,41.42111406523572
2021,abril,9,43.154875560995514
2021,abril,10,42.505780845556515
2021,abril,11,36.65558194774347
2021,abril,12,43.262837882492896
2021,abril,13,39.243169398907106
2021,abril,14,41.336322869955154
2021,abril,15,41.73588840152441
2021,abril,16,43.83373672179642
2021,abril,17,42.22829232995659
2021,abril,18,31.097560975609756
2021,abril,19,41.65902875304901
2021,abril,20,40.460778727445394
2021,abril,21,35.48132427843803
2021,abril,22,38.23820045418278
2021,abril,23,40.927932793279325
2021,abril,24,40.049718851731285
2021,abril,25,30.25074183976261
2021,abril,26,41.15310384559989
2021,abril,27,41.81460978398219
2021,abril,28,42.380561533456785
2021,abril,29,39.59282803585982
2021,abril,30,38.34301062288749
2021,maio,1,29.655421686746987
2021,maio,2,33.00620017714792
2021,maio,3,38.717898463678324
2021,maio,4,41.67364111894474
2021,maio,5,43.81870141746685
2021,maio,6,44.95335810847202
2021,maio,7,39.033206464780186
2021,maio,8,35.90093859549926
2021,maio,9,32.00877706260972
2021,maio,10,38.82869703084462
2021,maio,11,40.35184478718186
2021,maio,12,38.52425180598555
2021,maio,17,46.86390532544379
2021,maio,18,39.47498961609209
2021,maio,19,41.207118141374195
2021,maio,20,40.13452625403344
2021,maio,21,40.95369188696445
2021,maio,22,35.13068181818182
2021,maio,23,28.389162561576356
2021,maio,24,38.486987157631546
2021,maio,25,38.994743834113095
2021,maio,26,38.41562853907135
2021,maio,27,42.20088168063568
2021,maio,28,43.38199499213882
2021,maio,29,38.026315789473685
2021,maio,30,28.667487684729064
2021,maio,31,41.09031595170819
2021,junho,1,41.4729068344695
2021,junho,2,41.84558546686747
2021,junho,3,40.59670494258612
2021,junho,4,39.28731434136839
2021,junho,5,35
2021,junho,6,34.714285714285715
2021,junho,7,40.198559312187754
